Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,90.17223427603717,91.15182100525054,29122820.08798912,3491.3686917635337,5396.556317503702,-0.9795867292133664
DecisionTreeRegressor,79.59357710066446,80.8095749355916,60470772.24151972,4650.18854896962,7776.295534605132,-1.215997834927137
XGBRegressor,92.02773619362792,92.77668391962773,23624373.1330362,3176.498517767649,4860.49103826313,-0.7489477259998125
BaggingRegressor,89.0274923926791,90.06772598426747,32515057.230449222,3673.5893983884184,5702.197579043471,-1.0402335915883754
