Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,80.85121737212427,83.51041205092736,50952794.376510724,4710.580677966102,7138.1226086773495,-2.6591946788030896
DecisionTreeRegressor,68.3369959050109,62.464064485644435,84251754.71186441,6132.248587570622,9178.875460091198,5.872931419366459
XGBRegressor,82.21845858463308,85.04104895773978,47314716.60844216,4484.041747357212,6878.569372219936,-2.822590373106692
BaggingRegressor,78.8290484129371,82.11696109203655,56333562.50022599,4994.273446327683,7505.568765938127,-3.287912679099449
