Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,72.23154558239764,70.44833183941837,302559323.80245006,7943.960105909784,17394.232486731056,1.783213742979271
DecisionTreeRegressor,69.68218880968988,46.067274139954115,330336586.7959824,9129.747645951036,18175.164010153592,23.61491466973576
XGBRegressor,68.21298804235315,68.11377991997487,346344693.8375346,7929.328315346928,18610.338359028687,0.09920812237827192
BaggingRegressor,71.21357742492887,67.44640618357887,313650893.85328233,8350.261807909603,17710.191807354382,3.767171241349999
