Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,90.5857026471495,86.93700926935118,135968529.37396914,4720.17050696531,11660.554419665008,3.648693377798324
DecisionTreeRegressor,83.9176667564826,70.38690563344235,232273436.67459813,6272.329721691098,15240.519567081634,13.53076112304025
XGBRegressor,93.00369224127192,89.89870769965727,101046062.31859837,4270.958696175716,10052.167045896043,3.1049845416146553
BaggingRegressor,89.41231913730765,85.04883546498078,152915437.2785251,5045.211745045374,12365.89815899052,4.363483672326865
