Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,71.89417604952375,69.68528777752448,306235232.3064958,7776.604096045198,17499.57806081323,2.208888271999271
DecisionTreeRegressor,56.641769900586624,47.580372967634275,472422288.3587571,10055.347457627118,21735.277508206724,9.061396932952348
XGBRegressor,74.54647036527253,69.16580088015797,277336383.1797204,7336.790434239274,16653.419564153195,5.380669485114552
BaggingRegressor,70.95564168354626,69.18841724456395,316461308.2293786,8006.972316384181,17789.359410315443,1.7672244389823106
