Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,81.90606648190146,80.71433768532522,55538136.83313723,5114.811337755073,7452.391349971983,1.1917287965762426
DecisionTreeRegressor,64.4706231746118,65.80269620305623,109055081.34816384,6692.3714689265535,10442.94409389248,-1.3320730284444267
XGBRegressor,80.64196026068022,78.42461639966838,59418227.594805,5326.95934368931,7708.321970105102,2.217343861011841
BaggingRegressor,81.49734628244525,80.05249392754735,56792676.55724757,5106.25910747915,7536.091596925264,1.444852354897904
