maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
33,8,5,5,4,70000,1,140,0,1984,16,8,1,1,1,35990,4,-1
797,8,5,5,4,94425,0,150,0,2967,3,4,1,1,1,26990,9,0
23,13,5,5,4,83000,1,110,0,1498,11,8,1,1,0,19890,3,0
91,13,5,5,5,42829,1,140,0,1995,4,8,1,1,1,37900,3,0
794,8,5,5,5,10,1,110,0,1498,20,7,7,1,0,31390,0,0
462,13,5,5,5,57646,1,143,0,1950,10,7,2,1,1,45845,3,0
26,4,5,5,5,39900,1,140,0,1968,4,5,6,1,5,46970,3,0
608,13,1,5,5,1950,0,169,0,1998,26,7,12,1,1,47440,1,0
184,8,3,5,4,0,1,96,1,1332,20,7,8,1,0,22690,1,0
72,12,5,5,5,5994,0,115,0,1499,16,5,1,1,0,39980,2,-1
645,4,5,2,2,15990,1,368,0,3996,27,5,10,1,1,188889,6,-1
33,8,5,5,4,15556,1,110,0,1498,21,7,1,1,3,42490,1,-2
430,13,5,5,5,99425,1,143,0,1950,10,8,1,1,0,29999,4,-1
95,12,5,5,4,90925,1,185,0,1998,25,5,12,1,1,33900,4,0
768,13,5,5,5,263700,0,103,0,1968,4,4,7,1,0,6985,12,0
768,13,3,5,5,10,0,110,0,1498,20,7,1,1,1,43880,1,0
560,13,5,5,5,93258,0,120,0,1950,4,5,2,1,0,39865,3,0
628,2,5,5,4,49000,1,60,1,1199,16,8,2,1,0,11480,5,-1
238,18,5,5,5,88637,1,125,0,1997,4,5,1,1,2,17780,6,0
774,8,5,5,5,25100,1,81,1,999,20,5,12,1,0,19990,1,-2
775,8,5,5,5,13000,1,110,1,1500,20,7,12,1,0,25900,2,-1
637,18,4,5,5,25,1,96,0,1200,21,8,2,1,0,32750,1,0
773,18,5,7,5,21290,1,110,1,1395,20,7,7,1,0,35450,1,0
321,8,4,5,5,15,1,118,0,1482,20,7,7,1,3,27990,0,-1
107,12,5,5,4,72986,1,448,0,6592,11,5,7,1,1,140000,4,-1
