Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,84.35795394081038,85.19949882318194,46352396.46373377,4456.235390088956,6808.25942982006,-0.841544882371565
DecisionTreeRegressor,73.90675918484587,75.695049323273,77322636.61102943,5489.49116659401,8793.329097163909,-1.7882901384271292
XGBRegressor,85.54729540663669,86.24251984462632,42827996.462216616,4368.397159651786,6544.310235786244,-0.6952244379896229
BaggingRegressor,83.14959621417405,84.00261732426797,49933147.74161134,4644.389769273926,7066.339062174369,-0.8530211100939198
