Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,90.44055564285706,86.90097075183073,138064854.14224353,4763.189536978866,11750.100175838652,3.5395848910263368
DecisionTreeRegressor,85.95095907255437,71.06426007346106,202907063.8438142,6131.1834501805815,14244.545055698136,14.886698999093312
XGBRegressor,93.00369224127192,89.89870769965727,101046062.31859837,4270.958696175716,10052.167045896043,3.1049845416146553
BaggingRegressor,89.35209816604466,85.43223103645923,153785194.90282863,5147.41068393578,12401.015881887606,3.919867129585427
