maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
791,18,5,7,4,1100,1,169,0,1968,3,5,1,1,5,104550,1,-2
497,4,5,5,5,18867,1,155,0,1991,10,7,2,1,2,54885,2,0
269,8,5,7,5,67800,1,147,0,2199,3,5,1,1,1,28900,7,0
62,3,5,4,2,11500,1,250,0,2993,3,7,2,3,1,69950,1,0
773,18,5,7,5,74700,1,110,0,1968,3,8,1,1,0,31900,4,-1
752,12,5,5,5,20485,0,180,0,1984,21,5,1,1,0,39990,2,0
430,12,5,5,4,38158,1,143,0,1950,10,8,12,1,2,41285,3,0
80,12,5,5,5,71934,1,140,0,1995,4,8,2,1,1,27950,5,0
752,12,5,5,5,18300,0,150,0,1395,10,5,12,1,5,26970,3,0
36,8,2,5,5,14160,1,250,0,2995,16,5,1,1,5,81770,1,-2
791,18,2,7,5,1500,1,150,0,1968,4,5,2,4,4,74980,1,-2
694,12,5,5,5,7448,1,70,1,999,16,7,8,1,0,17980,1,-2
504,4,5,5,4,42548,1,190,0,2987,4,5,7,1,1,58870,5,0
745,13,5,5,5,21800,1,235,0,1984,29,7,1,1,1,48900,2,0
688,12,5,5,4,15450,0,110,0,1498,20,7,7,4,0,25899,1,-2
589,8,5,5,5,54255,1,116,0,1332,21,7,1,1,1,25710,3,0
770,2,5,5,5,9513,1,81,0,999,21,7,12,1,0,24497,1,-2
312,2,4,4,5,15,1,49,1,998,25,7,10,1,0,15990,0,-1
621,10,5,5,4,19300,0,103,1,2179,4,7,12,1,0,34950,1,0
443,12,5,5,4,78000,1,280,0,1991,29,5,1,1,3,38900,5,0
401,9,5,5,5,128198,0,120,1,2143,4,5,12,1,0,30821,6,0
611,8,5,5,5,1221,0,96,0,1199,26,7,1,1,5,35850,1,0
814,8,5,5,4,123000,1,140,1,1969,3,5,7,1,3,20999,7,0
241,8,5,5,5,59066,0,110,1,1498,21,5,12,4,0,16999,5,0
45,13,5,5,4,24000,1,441,0,3996,11,8,9,1,1,119890,3,0
654,12,5,4,4,29865,1,463,0,3996,18,7,1,1,1,184280,2,0
698,13,5,5,5,1500,1,180,0,1984,16,5,2,1,0,39680,0,-3
650,3,5,2,2,4896,1,294,0,3995,16,5,10,5,1,119718,1,0
36,8,5,5,5,93390,1,170,0,2967,4,8,7,1,3,52890,4,-1
115,18,5,4,2,110892,0,460,0,4395,16,5,7,0,1,88980,4,-2
425,13,5,5,4,98000,1,118,0,1597,3,8,12,1,5,26990,4,0
157,18,1,5,5,629,1,100,0,1968,10,5,7,4,0,37990,0,0
23,13,5,5,5,25305,1,110,0,1498,26,8,7,1,0,23890,4,-1
697,8,5,5,5,81000,0,110,0,1968,4,5,4,0,0,26880,6,0
401,18,1,5,5,5000,1,70,1,1461,4,8,7,1,2,31890,0,0
411,12,1,5,5,9339,1,110,0,1950,3,5,1,1,2,33590,2,0
631,13,5,5,5,74000,1,88,1,1560,4,5,7,1,0,13485,7,0
795,8,5,5,5,37492,1,140,0,1984,20,6,7,1,0,38930,3,0
654,13,5,5,5,50,1,243,0,2894,28,5,7,1,1,144900,1,-2
184,8,3,5,4,0,0,74,1,999,13,7,12,1,0,20990,1,0
606,8,2,5,5,11483,1,96,1,1199,26,7,1,5,0,31990,1,0
660,12,5,5,4,180000,0,60,1,1461,3,2,2,5,0,2999,19,0
802,12,5,4,3,44252,1,44,1,999,20,5,12,1,0,10850,4,0
241,8,5,5,5,54893,1,110,1,1997,4,8,12,5,3,22490,4,-1
716,12,5,5,5,7352,1,95,1,1373,20,7,1,1,0,23370,1,-2
250,18,4,8,5,35,1,125,0,2000,4,7,1,1,0,52990,0,-3
127,8,1,5,5,5100,1,460,0,4395,21,5,6,1,1,137789,1,0
819,4,5,2,3,29640,1,60,0,1968,10,5,12,1,0,11485,4,0
241,8,5,5,4,24644,1,110,0,1997,3,5,12,1,3,21990,7,0
422,12,5,5,5,17976,1,118,0,1332,10,7,1,1,2,34845,2,0
321,8,4,5,5,15,1,118,1,1482,20,7,10,1,3,26490,0,-1
35,8,2,5,5,18176,1,150,0,1968,4,5,6,4,1,56970,1,-2
112,3,5,4,2,92502,1,317,0,2979,27,5,1,6,1,45990,8,0
242,13,5,5,5,114900,0,149,0,1999,21,5,1,1,0,19390,5,0
80,12,5,5,5,22397,1,140,0,1995,4,8,1,1,1,36990,4,0
271,12,5,5,5,69449,1,77,0,1580,10,5,7,1,1,18690,4,0
527,12,5,5,4,86000,1,210,0,2925,3,5,1,0,1,64700,4,0
37,8,5,5,5,30,1,210,0,2967,4,5,1,1,1,97880,0,0
685,8,5,5,5,16800,0,140,0,1984,20,8,7,1,5,29900,3,0
737,8,5,5,4,38400,1,131,0,2487,10,8,10,1,1,34880,3,0
464,12,5,5,4,118000,0,200,0,3498,16,3,1,1,1,11999,16,-1
598,13,5,5,5,51657,1,90,0,1496,4,7,10,1,0,18700,2,0
496,8,5,5,4,80000,1,150,0,2143,4,5,1,1,3,33440,5,0
441,13,5,5,4,42609,1,165,0,1991,17,5,1,1,1,39720,4,0
33,8,5,5,4,23643,1,110,0,1968,4,5,1,1,0,38990,1,-2
83,13,5,5,5,29428,1,185,0,1998,20,5,7,1,1,27999,5,0
22,2,5,5,4,71127,1,55,1,1390,16,4,9,1,0,6950,21,0
146,4,5,4,2,32736,1,205,0,1998,11,5,2,1,1,33922,2,-2
483,8,4,5,5,50,1,430,0,3982,27,8,7,1,0,264900,0,-3
394,8,5,5,5,68500,1,88,1,1998,11,5,12,1,0,16490,8,0
91,13,5,5,5,42829,1,140,0,1995,4,8,1,1,1,37900,3,0
547,3,5,2,2,12500,1,135,1,1796,11,3,10,1,1,21980,14,0
770,2,5,5,5,8771,1,70,1,999,21,7,2,1,0,21997,1,-2
