Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,84.42545698053281,84.04915425084806,231353223.6847099,5429.720637844067,15210.299920932193,0.37630272968475253
DecisionTreeRegressor,82.11548346878075,72.0968897526355,265666899.3991201,6827.378477283772,16299.291377207786,10.018593716145247
XGBRegressor,89.25021316819894,87.89858233760897,159683519.08316234,4948.044659127994,12636.594441666724,1.3516308305899685
GradientBoostingRegressor,81.20309912995923,77.87862770627478,279219981.3586975,6920.216550698675,16709.876760727395,3.324471423684443
BaggingRegressor,82.79888150111316,80.77515450996262,255515311.79605094,5786.9893590355205,15984.846317561234,2.0237269911505393
