Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,68.94639340932439,61.844383194382026,338353660.9710009,7374.2122316384175,18394.392106590556,7.102010214942361
DecisionTreeRegressor,44.90273883378316,19.882313241093875,600328337.7288135,10448.090395480225,24501.598677000926,25.020425592689286
XGBRegressor,60.57383080383929,54.455664991761424,429579367.75010985,7605.070257326977,20726.296527602557,6.118165812077869
GradientBoostingRegressor,62.78850850735949,63.84884159740064,405448698.52594614,7799.674958051563,20135.756716000174,-1.060333090041155
BaggingRegressor,71.2948636366847,59.36229842036946,312765216.1380791,7919.27627118644,17685.169383923894,11.932565216315233
