Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,69.5864602925956,69.704706754931,331379624.8767153,7837.335028248586,18203.83544412318,-0.11824646233539227
DecisionTreeRegressor,65.42852330035784,45.906099458362675,376683644.5338983,9583.353107344632,19408.33956148486,19.522423841995163
XGBRegressor,74.54647036527253,69.16580088015797,277336383.1797204,7336.790434239274,16653.419564153195,5.380669485114552
GradientBoostingRegressor,72.19379582294036,77.13115170004838,302970637.3571526,7556.507004329458,17406.05174521645,-4.937355877108018
BaggingRegressor,68.27623276036239,64.14111411263643,345655592.49875706,8519.203389830509,18591.815201823545,4.13511864772596
