Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,90.24088410713279,86.82037453860441,144967522.91899723,4770.942330716833,12040.24596588447,3.4205095685283737
DecisionTreeRegressor,75.66457722025417,76.28182649353661,361492372.6999426,6698.987120383868,19012.952761208413,-0.6172492732824395
XGBRegressor,92.26118620197461,87.56583695991228,114956793.10982043,4358.296911229892,10721.790573865002,4.695349242062335
GradientBoostingRegressor,89.1388108274348,84.87844715214055,161338353.5543625,6255.852582542376,12701.903540586447,4.2603636752942435
BaggingRegressor,89.51640509485337,86.05895738606478,155729351.03640985,5070.344506992924,12479.156663669619,3.4574477087885924
