Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,64.28162840504521,62.48175540896072,389179973.5977986,8042.7767733937435,19727.644907535177,1.7998729960844884
DecisionTreeRegressor,47.05640808508472,27.34437714944211,576862403.9548807,10559.212335216573,24017.960029004975,19.71203093564261
XGBRegressor,64.38083241471955,60.74605601608607,388099067.27027416,8501.228335623015,19700.230132419118,3.634776398633477
GradientBoostingRegressor,63.84398329244767,63.947565873204546,393948464.0345231,8214.100118824408,19848.135026609507,-0.10358258075687843
BaggingRegressor,65.12418447395862,61.00238061090213,379999657.306428,8354.302972154965,19493.57989971129,4.121803863056492
