Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,73.2011753573297,69.98146976390056,291994438.7487036,8020.180453391869,17087.844766052378,3.21970559342914
DecisionTreeRegressor,68.32205011891274,53.06403433699223,345156376.05649716,9581.384180790961,18578.384646047598,15.258015781920513
XGBRegressor,66.93009097245364,68.5530580080574,360322874.40673804,7870.618489928164,18982.1725418019,-1.6229670356037644
GradientBoostingRegressor,71.25323143034203,77.85596545162122,313218832.0293351,7954.133975326146,17697.98949116354,-6.60273402127919
BaggingRegressor,74.15979016101038,68.68583062489986,281549570.5386533,8081.6540866290015,16779.438922045436,5.473959536110513
