Regressor,R2_Score,Cross validation score,mean_squared_error,mean_absolute_error,root_mean_squared_error,Diff
RandomForestRegressor,82.66941484438189,81.82401911156249,257438484.01092896,5439.047658846574,16044.889654058981,0.845395732819398
DecisionTreeRegressor,76.09211061084423,64.40540772805483,355141545.7111678,7074.297512755102,18845.199540232195,11.686702882789405
XGBRegressor,88.98050293188234,85.39067255902012,163689950.1260901,4877.996127887648,12794.13733418905,3.589830372862224
GradientBoostingRegressor,76.03586894781915,75.99928065514453,355976991.7354895,7019.151876985552,18867.352536471288,0.03658829267462238
BaggingRegressor,78.02791000885651,79.78357257971882,326386067.58399105,5861.581058673469,18066.15807480913,-1.755662570862313
